Rank;Country/Territory;Capital;Continent; Population_2024 ; Population_2022 ; Population_2020 ; Population_2015 ; Population_2010 ; Population_2000 ; Area (km²) ; Density (per km²) ; Growth_Rate ; Growth_Absolute ;Growth_Percent; Population World
125;Ireland;Dublin;Europe; 5.255.017 ; 5.023.109 ; 4.946.119 ; 4.665.760 ; 4.524.585 ; 3.768.950 ; 70.273 ; 714.799 ; 10.073 ; 1.486.067 ;39%; 6
2;India;New Delhi;Asia; 1.450.935.791 ; 1.417.173.173 ; 1.396.387.127 ; 1.322.866.505 ; 1.240.613.620 ; 1.059.633.675 ; 3.287.590 ; 4.310.675 ; 10.068 ; 391.302.116 ;37%; 1.777
24;South Africa;Pretoria;Africa; 64.007.187 ; 59.893.885 ; 58.801.927 ; 55.876.504 ; 51.784.921 ; 46.813.266 ; 1.221.037 ; 490.517 ; 10.084 ; 17.193.921 ;37%; 75
18;Turkey;Ankara;Asia; 87.473.805 ; 85.341.241 ; 84.135.428 ; 79.646.178 ; 73.195.345 ; 64.113.547 ; 783.562 ; 1.089.145 ; 10.067 ; 23.360.258 ;36%; 107
123;New Zealand;Wellington;Oceania; 5.213.944 ; 5.185.288 ; 5.061.133 ; 4.590.590 ; 4.346.338 ; 3.855.266 ; 270.467 ; 191.716 ; 10.108 ; 1.358.678 ;35%; 7
109;Paraguay;Asunción;South America; 6.929.153 ; 6.780.744 ; 6.618.695 ; 6.177.950 ; 5.768.613 ; 5.123.819 ; 406.752 ; 166.705 ; 10.115 ; 1.805.334 ;35%; 9
66;Kazakhstan;Nursultan;Asia; 20.592.571 ; 19.397.998 ; 18.979.243 ; 17.835.909 ; 16.627.837 ; 15.236.253 ; 2.724.900 ; 71.188 ; 10.105 ; 5.356.318 ;35%; 24
106;Nicaragua;Managua;North America; 6.916.140 ; 6.948.392 ; 6.755.895 ; 6.298.598 ; 5.855.734 ; 5.123.222 ; 130.373 ; 532.962 ; 10.143 ; 1.792.918 ;35%; 9
28;Colombia;Bogota;South America; 52.886.363 ; 51.874.024 ; 50.930.662 ; 47.119.728 ; 44.816.108 ; 39.215.135 ; 1.141.748 ; 454.339 ; 10.069 ; 13.671.228 ;35%; 65
119;Lebanon;Beirut;Asia; 5.805.962 ; 5.489.739 ; 5.662.923 ; 6.398.940 ; 4.995.800 ; 4.320.642 ; 10.452 ; 5.252.334 ; 9.816 ; 1.485.320 ;34%; 7
8;Bangladesh;Dhaka;Asia; 173.562.364 ; 171.186.372 ; 167.420.951 ; 157.830.000 ; 148.391.139 ; 129.193.327 ; 147.570 ; 1.160.035 ; 10.108 ; 44.369.037 ;34%; 215
